case,p0_x,p0_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,g0,g1,g2,g3,h00,h01,h02,h03,h10,h11,h12,h13,h20,h21,h22,h23,h30,h31,h32,h33,sample_0_t,sample_0_x,sample_0_y,sample_1_t,sample_1_x,sample_1_y,sample_2_t,sample_2_x,sample_2_y,sample_3_t,sample_3_x,sample_3_y,sample_4_t,sample_4_x,sample_4_y,sample_5_t,sample_5_x,sample_5_y,sample_6_t,sample_6_x,sample_6_y,sample_7_t,sample_7_x,sample_7_y
0,-61.22969347886198,-75.69712227622153,-45.446782113750196,92.7480522303097,14.636849021349846,-72.69489678825407,56.51592468776471,67.28284433047318,-94.16855634045668,23.442106586215957,-42.32917698829225,19.967293980803678,0.9580178125,0.0,0.7998046875,0.0,0.0,0.9580178125,0.0,0.7998046875,0.7998046875,0.0,0.9580178125,0.0,0.0,0.7998046875,0.0,0.9580178125,0.0,-12.911752834517046,3.564614845867524,1.0,90.10393067760972,44.5878329552296,0.5,78.43988853133828,-32.01524350917022,0.5,90.87490130328243,26.250173963163803,0.25,-64.38478358796635,-11.892275817660362,0.75,-91.81100157709747,5.8399508366823625,0.0,-69.43323001770527,-6.16828969875553,1.0,26.383392629882138,-37.27878016333626
1,-51.915442572554426,-7.061908273256833,-18.520038907422574,-52.964703965609885,88.41517731911225,99.85467646033882,-35.52705157734337,-26.686548018072173,-20.067039676180414,-8.371935493589081,-0.2026973704664688,-0.08456500498574827,0.013842582543999997,0.0,0.00013972305599999998,0.0,0.0,0.013842582543999997,0.0,0.00013972305599999998,0.00013972305599999998,0.0,1.1411344e-05,0.0,0.0,0.00013972305599999998,0.0,1.1411344e-05,0.01,-90.34656753891178,37.21185560957855,0.01,47.160667054887824,-13.209493828187064,0.01,-82.68147928542682,39.08483679538824,0.01,56.032852974861214,-69.63295278880979,0.01,2.7110819476309445,-45.106288229251135,0.01,51.90771500150052,-7.759123104549076,0.01,-30.942487710047658,81.66098173703244,0.01,-19.73500151154741,53.07668347584968
2,-20.332848731011126,29.68543057295031,-52.6560920535331,-61.82720692663002,38.55663426598869,71.25168654425269,-10.460020362291075,88.05547552495335,-139.10335299390977,-10.940726169441064,-15.473893559055515,-27.318227579155987,1.3933930196612443,0.0,0.7783810710737994,0.0,0.0,1.3933930196612443,0.0,0.7783810710737994,0.7783810710737994,0.0,0.783646279372138,0.0,0.0,0.7783810710737994,0.0,0.783646279372138,0.555971357386894,-60.02108417072052,6.389982681255276,0.14876189821789665,-8.170686236715767,-35.068472526095505,0.2642872107185914,65.659474481572,-25.317271233207933,0.2068317645702148,22.484770610465205,78.57938243033846,0.052045073752933435,10.617909142735016,33.082578433405615,0.5942178226049148,19.314761164764448,80.0989842938128,0.051645898204363605,6.318980982384176,42.34230016070845,0.05563142923929387,27.011147623774193,-93.96367198156446
3,49.88402342114,59.669450942447526,-83.94614774643023,-35.928468673200584,-87.60197144607096,44.43723893997014,64.73678566492501,94.5885967262596,-46.20564366362815,73.68069822530609,5.4094348903529585,44.025637356366744,1.74491653505733,0.0,1.113596521506247,0.0,0.0,1.74491653505733,0.0,1.113596521506247,1.113596521506247,0.0,1.1387520564223788,0.0,0.0,1.113596521506247,0.0,1.1387520564223788,0.15231811992770405,38.09492905511357,-20.04103873931939,0.3859070406612385,-88.5706816536244,68.32277566095925,0.6564699627404469,-26.207906555052006,23.622947021072434,0.379110249278821,-38.89030309863924,36.045279800612775,0.8674936847635707,3.1305407644037615,21.481033893718248,0.025561786901672878,62.14961602535297,83.5996760429052,0.46367548231221334,-65.05632520846811,9.621387406055803,0.2185278118374182,51.80422706346437,-92.54322275084958
4,39.137220243911145,-37.11940788691634,-72.44120696055293,-71.03777522507286,34.095492268173984,39.98616919965241,32.51751252056866,-20.923192783304373,-91.40280846707039,-115.53162566852636,-109.3147438378003,-11.516906269870798,0.9580178125,0.0,0.7998046875,0.0,0.0,0.9580178125,0.0,0.7998046875,0.7998046875,0.0,0.9580178125,0.0,0.0,0.7998046875,0.0,0.9580178125,0.0,49.38080401557244,76.52037586635228,1.0,27.859447611483162,96.0916006330032,0.5,83.34292239033937,20.411075047078825,0.5,36.354027061152124,-42.59571484725848,0.25,-22.489642154325296,98.18105115600133,0.75,36.62798890022165,-48.92880879742334,0.0,-11.394746698420349,42.255182288277695,1.0,-37.79398138034657,-95.23218511932095
5,-3.0087394840522848,-41.20119059219458,-25.265844240019348,-93.31759330920988,49.64300485342986,46.75655791964374,11.875422852402394,-44.30222072636629,0.19560129094623074,-0.21953053916872783,19.364527803676822,-21.733523377704035,1.1411344000000006e-05,0.0,0.00013972305600000036,0.0,0.0,1.1411344000000006e-05,0.0,0.00013972305600000036,0.00013972305600000036,0.0,0.013842582544000021,0.0,0.0,0.00013972305600000036,0.0,0.013842582544000021,0.99,37.11129912186573,-29.76088796454384,0.99,-85.61731894875679,-59.33273793723159,0.99,-62.489673474887454,11.74638059964468,0.99,84.76686689918077,9.466281818991277,0.99,-52.478897900667086,-39.103453762942394,0.99,-87.67635857660989,-11.487880911097562,0.99,-68.42769914781326,81.2745917196998,0.99,9.315537228525073,73.66274732834754
6,-90.65319498758065,55.86221030561754,95.50291432734258,-40.123059823992136,29.1439024911206,5.488875543066669,-54.65144227637626,-92.23265642997237,18.509603271539888,181.2684667761536,30.567159379874617,53.92796253210067,1.2965858641321606,0.0,0.8345512389617354,0.0,0.0,1.2965858641321606,0.0,0.8345512389617354,0.8345512389617354,0.0,1.1907643923705844,0.0,0.0,0.8345512389617354,0.0,1.1907643923705844,0.3838919090356889,-44.852625754109,-96.89872629489622,0.14734267809772672,88.38334775462243,-91.81304581032987,0.15702584025535749,-24.925598344665744,59.0269426830958,0.39031206479172187,-15.548587565428235,-43.646710917310536,0.7829127418435249,-25.169086175593748,-63.52480839816044,0.021459855357625623,-80.85391711741573,-51.19069845640314,0.7029945608374353,46.71826099220726,-98.00052532803613,0.8740715454908864,-20.872952162675602,95.78015300066559
7,24.290257194104356,38.36412255857212,14.654278659848003,-28.665332823458726,-3.5655681069094243,88.74034959265532,-80.23181212403719,-8.612891973665754,134.5408965724397,35.439468062545494,-13.97102156482363,27.089737235885508,1.7404814954710677,0.0,1.3897960285966555,0.0,0.0,1.7404814954710677,0.0,1.3897960285966555,1.3897960285966555,0.0,1.4013896254954805,0.0,0.0,1.3897960285966555,0.0,1.4013896254954805,0.3506716950948836,-93.48439649443048,-61.592955688910855,0.45706943473520667,20.450579747183852,53.65035168240976,0.02707478374705863,-0.8286584325271349,95.22651161721618,0.22889810105167052,-93.01815512360537,74.75008363250879,0.5803583964696196,-39.13223503177221,40.8943390423492,0.05490786257979674,-88.08824871139898,-25.517726840005423,0.5781045199521176,53.44202758511983,79.31421823409605,0.5245485291215017,55.70795777863063,-65.9439516537124
8,-45.56052561709125,-14.308406944172063,49.21099166856732,-79.0412476910133,34.17557824670345,-68.57990417709755,9.22980436321626,10.027739156535077,-12.47930925761247,42.56962252672413,14.183878523366545,27.273515727800152,0.9580178125,0.0,0.7998046875,0.0,0.0,0.9580178125,0.0,0.7998046875,0.7998046875,0.0,0.9580178125,0.0,0.0,0.7998046875,0.0,0.9580178125,0.0,-59.91875520586192,54.39472770716242,1.0,-31.94517181993146,41.72327736886342,0.5,-0.14665579349775726,-62.95143740243381,0.5,-31.854582249145295,-71.80576359506823,0.25,86.40554521387108,-78.19307187340574,0.75,57.034184021731306,-38.17118090306204,0.0,75.19659754656928,97.39673843493875,1.0,75.13985998502142,-4.98469090509613
9,-46.86125789152478,85.62935770536012,82.60741409611384,87.22070628630775,-51.64871301396063,-53.52864613264159,52.64573416832505,28.814763428094636,0.20100454914767577,0.12263915627157869,19.89945036561988,12.141276470886279,1.1411344000000006e-05,0.0,0.00013972305600000036,0.0,0.0,1.1411344000000006e-05,0.0,0.00013972305600000036,0.00013972305600000036,0.0,0.013842582544000021,0.0,0.0,0.00013972305600000036,0.0,0.013842582544000021,0.99,87.85690902118398,19.013930341306292,0.99,41.7570385024934,13.332561443068755,0.99,27.585972485860836,25.336776761709515,0.99,-44.992393667788264,-23.888903597410135,0.99,-69.70233850674083,44.865607025932576,0.99,49.79140043259338,-21.459142347089283,0.99,-71.38223456616225,9.07816903369583,0.99,37.397858615117656,-61.45403641641416
